coin,timeframe,bars,data_start,data_end,rr,risk_pct,sl_pct,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss
ETH/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,8193.13,-1806.87,-18.07,2019.63,20.03,126.55,-98.81,23.77,-23.84,126.55,-98.81,43.5,56.5,0.77,-3.13,577,251,326,0,7,9,1.73,2.25,-0.89,-3.49,-5.19,-0.47,49.17,14.93,24.0,2.0,5965.91,7772.82
ETH/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,8193.13,-1806.87,-18.07,2019.63,20.03,126.55,-98.81,23.77,-23.84,126.55,-98.81,43.5,56.5,0.77,-3.13,577,251,326,0,7,9,1.73,2.25,-0.89,-3.49,-5.19,-0.47,49.17,14.93,24.0,2.0,5965.91,7772.82
SOL/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,9956.11,-43.89,-0.44,102.33,1.02,83.76,-102.33,35.18,-46.16,83.76,-102.33,50.0,50.0,0.76,-5.48,8,4,4,0,2,2,1.33,1.33,-0.43,-3.7,-5.1,-22.97,91.65,18.64,23.75,4.25,140.74,184.62
SOL/INR,5m,1953,2026-09-17 05:30:00+05:30,2026-09-24 00:10:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,9956.11,-43.89,-0.44,102.33,1.02,83.76,-102.33,35.18,-46.16,83.76,-102.33,50.0,50.0,0.76,-5.48,8,4,4,0,2,2,1.33,1.33,-0.43,-3.7,-5.1,-22.97,91.65,18.64,23.75,4.25,140.74,184.62
SOL/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,10040.93,40.93,0.41,236.54,2.35,141.09,-102.84,29.22,-22.0,141.09,-102.84,44.26,55.74,1.05,0.67,61,27,34,0,4,3,1.5,1.89,0.17,0.78,1.26,1.09,83.2,19.57,23.5,2.25,788.82,747.91
SOL/INR,15m,5738,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,10040.93,40.93,0.41,236.54,2.35,141.09,-102.84,29.22,-22.0,141.09,-102.84,44.26,55.74,1.05,0.67,61,27,34,0,4,3,1.5,1.89,0.17,0.78,1.26,1.09,83.2,19.57,23.5,2.25,788.82,747.91
SOL/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,9975.86,-24.14,-0.24,414.85,4.06,136.26,-101.32,33.17,-25.63,136.26,-101.32,42.86,57.14,0.97,-0.43,56,24,32,0,5,3,1.5,1.88,-0.06,-0.34,-0.6,-0.37,72.39,18.54,23.0,1.0,796.14,820.3
SOL/INR,30m,2870,2026-07-26 05:30:00+05:30,2026-09-24 00:00:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,9975.86,-24.14,-0.24,414.85,4.06,136.26,-101.32,33.17,-25.63,136.26,-101.32,42.86,57.14,0.97,-0.43,56,24,32,0,5,3,1.5,1.88,-0.06,-0.34,-0.6,-0.37,72.39,18.54,23.0,1.0,796.14,820.3
SOL/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:2,1%,8%,Double ST 10x3+10x4,10000.0,8547.67,-1452.33,-14.52,1887.15,18.41,198.03,-104.57,28.14,-27.38,198.03,-104.57,45.21,54.79,0.85,-2.28,637,288,349,0,6,8,1.87,2.25,-0.77,-2.27,-3.47,-0.41,55.27,15.2,26.0,2.0,8103.83,9556.31
SOL/INR,1h,17331,2024-09-23 23:30:00+05:30,2026-09-23 23:30:00+05:30,1:3,1%,8%,Double ST 10x3+10x4,10000.0,8532.91,-1467.09,-14.67,1883.89,18.41,180.39,-104.39,28.04,-27.34,180.39,-104.39,45.21,54.79,0.85,-2.3,637,288,349,0,6,8,1.87,2.25,-0.78,-2.31,-3.51,-0.41,55.3,15.21,26.0,2.0,8075.26,9542.39
