trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,5m,LONG,2026-09-17 13:35:00+05:30,2026-09-18 00:00:00+05:30,100.12,8360.02,92.11,116.14,101.19,8449.31,INTRADAY_SQUAREOFF,0.01,100.0,0.149521,1250.0,13.35,1.48,11.87,11.87,10000.0,10011.87
2,SOL/INR,5m,SHORT,2026-09-18 01:10:00+05:30,2026-09-18 19:20:00+05:30,100.72,8410.09,108.78,84.6,108.83,9087.44,STOP_LOSS,0.01,100.12,0.148807,1251.48,-100.79,1.54,-102.33,-102.33,10011.87,9909.54
3,SOL/INR,5m,LONG,2026-09-18 19:45:00+05:30,2026-09-19 00:00:00+05:30,109.03,9104.38,100.31,126.48,112.7,9410.75,INTRADAY_SQUAREOFF,0.01,99.1,0.136055,1238.69,41.68,1.49,40.2,40.2,9909.54,9949.73
4,SOL/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-20 00:00:00+05:30,112.86,9423.51,103.83,130.91,110.88,9258.86,INTRADAY_SQUAREOFF,0.01,99.5,0.13198,1243.72,-21.73,1.45,-23.19,-23.19,9949.73,9926.55
5,SOL/INR,5m,SHORT,2026-09-20 00:15:00+05:30,2026-09-21 00:00:00+05:30,110.91,9261.36,119.79,93.17,110.35,9213.82,INTRADAY_SQUAREOFF,0.01,99.27,0.133978,1240.82,6.37,1.46,4.91,4.91,9926.55,9931.46
6,SOL/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-22 00:00:00+05:30,109.85,9172.88,101.07,127.43,117.4,9803.01,INTRADAY_SQUAREOFF,0.01,99.31,0.135337,1241.43,85.28,1.52,83.76,83.76,9931.46,10015.22
7,SOL/INR,5m,LONG,2026-09-22 01:30:00+05:30,2026-09-23 00:00:00+05:30,118.48,9893.01,109.0,137.44,117.7,9828.04,INTRADAY_SQUAREOFF,0.01,100.15,0.126544,1251.9,-8.22,1.47,-9.69,-9.69,10015.22,10005.53
8,SOL/INR,5m,LONG,2026-09-23 00:50:00+05:30,2026-09-24 00:10:00+05:30,118.54,9898.03,109.06,137.51,113.99,9518.41,END_OF_DATA,0.01,100.06,0.126358,1250.69,-47.97,1.45,-49.41,-49.41,10005.53,9956.11
