trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,2441.94,203902.02,2246.59,3028.01,2457.38,205191.3,INTRADAY_SQUAREOFF,0.01,100.0,0.030652,6250.0,39.52,7.4,32.12,32.12,10000.0,10032.12
2,ETH/INR,5m,SHORT,2026-09-18 00:30:00+05:30,2026-09-19 00:00:00+05:30,2448.38,204439.34,2644.25,1860.77,2611.02,218020.57,INTRADAY_SQUAREOFF,0.01,100.32,0.030571,6250.0,-415.2,7.62,-422.82,-422.82,10032.12,9609.3
3,ETH/INR,5m,LONG,2026-09-19 00:35:00+05:30,2026-09-20 00:00:00+05:30,2620.14,218781.65,2410.53,3248.97,2639.06,220361.48,INTRADAY_SQUAREOFF,0.01,96.09,0.028567,6250.0,45.13,7.4,37.73,37.73,9609.3,9647.03
4,ETH/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,2632.33,219799.81,2842.92,2000.57,2639.17,220370.61,INTRADAY_SQUAREOFF,0.01,96.47,0.028435,6250.0,-16.23,7.38,-23.62,-23.62,9647.03,9623.42
5,ETH/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-22 00:00:00+05:30,2630.09,219612.88,2419.69,3261.32,2750.04,229628.69,INTRADAY_SQUAREOFF,0.01,96.23,0.028459,6250.0,285.04,7.54,277.5,277.5,9623.42,9900.92
6,ETH/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,2753.33,229902.71,2533.06,3414.12,2742.43,228992.75,INTRADAY_SQUAREOFF,0.01,99.01,0.027185,6250.0,-24.74,7.36,-32.1,-32.1,9900.92,9868.82
7,ETH/INR,5m,LONG,2026-09-23 01:00:00+05:30,2026-09-24 00:00:00+05:30,2765.51,230920.25,2544.27,3429.23,2659.78,222091.59,END_OF_DATA,0.01,98.69,0.027066,6250.0,-238.95,7.23,-246.19,-246.19,9868.82,9622.63
