coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,risk,sl_pct,rr_val,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss,target,File,oc,ot
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.5,10,2.0,"ST1(14,3.5)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,3.5)+ST2(10,2.0)",10000,11454.37,1454.37,14.54,669.0,6.69,268.452,-88.91,149.14,-88.91,223.71,-88.91,45.83,54.17,1.42,20.2,72,33,39,0,2,2,1.5,1.5,0,0,0,0,52.91,1.5,5,0.5,4921.62,3467.49,4.5%,"SOL_INR_30m_ST1(14,3.5)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,3.5,"ST1(10,2.0)+ST2(14,3.5)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(14,3.5)",10000,11454.37,1454.37,14.54,669.0,6.69,268.452,-88.91,149.14,-88.91,223.71,-88.91,45.83,54.17,1.42,20.2,72,33,39,0,2,2,1.5,1.5,0,0,0,0,52.91,1.5,5,0.5,4921.62,3467.49,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(14,3.5)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,2.0,"ST1(10,2.0)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(14,2.0)",10000,11437.34,1437.34,14.37,699.0,6.99,248.886,-96.47,138.27,-96.47,207.40500000000003,-96.47,48.75,51.25,1.36,17.97,80,39,41,0,2,2,1.5,1.5,0,0,0,0,62.14,1.5,5,0.5,5392.530000000001,3955.27,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,2.0,"ST1(14,2.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(10,2.0)",10000,11437.34,1437.34,14.37,699.0,6.99,248.886,-96.47,138.27,-96.47,207.40500000000003,-96.47,48.75,51.25,1.36,17.97,80,39,41,0,2,2,1.5,1.5,0,0,0,0,62.14,1.5,5,0.5,5392.530000000001,3955.27,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,3.5,"ST1(12,2.0)+ST2(12,3.5)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(12,3.5)",10000,11417.07,1417.07,14.17,654.0,6.54,255.51,-89.71,141.95,-89.71,212.925,-89.71,47.22,52.78,1.42,19.68,72,34,38,0,2,2,1.5,1.5,0,0,0,0,50.54,1.5,5,0.5,4826.299999999999,3408.98,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(12,3.5)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,12,2.0,"ST1(12,3.5)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,3.5)+ST2(12,2.0)",10000,11417.07,1417.07,14.17,654.0,6.54,255.51,-89.71,141.95,-89.71,212.925,-89.71,47.22,52.78,1.42,19.68,72,34,38,0,2,2,1.5,1.5,0,0,0,0,50.54,1.5,5,0.5,4826.299999999999,3408.98,4.5%,"SOL_INR_30m_ST1(12,3.5)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,3.0,"ST1(14,2.0)+ST2(7,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(7,3.0)",10000,11415.37,1415.37,14.15,613.0,6.13,251.478,-93.85,139.71,-93.85,209.565,-93.85,48.05,51.95,1.38,18.38,77,37,40,0,2,2,1.5,1.5,0,0,0,0,58.13,1.5,5,0.5,5169.27,3754.0,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(7,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,14,2.0,"ST1(7,3.0)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(7,3.0)+ST2(14,2.0)",10000,11415.37,1415.37,14.15,613.0,6.13,251.478,-93.85,139.71,-93.85,209.565,-93.85,48.05,51.95,1.38,18.38,77,37,40,0,2,2,1.5,1.5,0,0,0,0,58.13,1.5,5,0.5,5169.27,3754.0,4.5%,"SOL_INR_30m_ST1(7,3.0)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,10,2.0,"ST1(10,3.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,3.0)+ST2(10,2.0)",10000,11361.98,1361.98,13.62,700.0,7.0,264.618,-94.83,147.01,-94.83,220.515,-94.83,46.25,53.75,1.33,17.02,80,37,43,0,2,2,1.5,1.5,0,0,0,0,58.48,1.5,5,0.5,5439.37,4077.69,4.5%,"SOL_INR_30m_ST1(10,3.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,10,3.0,"ST1(10,2.0)+ST2(10,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(10,3.0)",10000,11361.98,1361.98,13.62,700.0,7.0,264.618,-94.83,147.01,-94.83,220.515,-94.83,46.25,53.75,1.33,17.02,80,37,43,0,2,2,1.5,1.5,0,0,0,0,58.48,1.5,5,0.5,5439.37,4077.69,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(10,3.0)_SL1.5pct_1-3",2,2
