trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,2441.94,203902.02,2246.59,3028.01,2457.38,205191.3,INTRADAY_SQUAREOFF,0.02,200.0,0.012261,2500.0,15.81,2.96,12.85,12.85,10000.0,10012.85
2,ETH/INR,5m,SHORT,2026-09-18 00:30:00+05:30,2026-09-19 00:00:00+05:30,2448.38,204439.34,2644.25,1860.77,2611.02,218020.57,INTRADAY_SQUAREOFF,0.02,200.26,0.012244,2503.21,-166.29,3.05,-169.34,-169.34,10012.85,9843.5
3,ETH/INR,5m,LONG,2026-09-19 00:35:00+05:30,2026-09-20 00:00:00+05:30,2620.14,218781.65,2410.53,3248.97,2639.06,220361.48,INTRADAY_SQUAREOFF,0.02,196.87,0.011248,2460.88,17.77,2.91,14.86,14.86,9843.5,9858.36
4,ETH/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,2632.33,219799.81,2842.92,2000.57,2639.17,220370.61,INTRADAY_SQUAREOFF,0.02,197.17,0.011213,2464.59,-6.4,2.91,-9.31,-9.31,9858.36,9849.05
5,ETH/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-22 00:00:00+05:30,2630.09,219612.88,2419.69,3261.32,2750.04,229628.69,INTRADAY_SQUAREOFF,0.02,196.98,0.011212,2462.26,112.3,2.97,109.32,109.32,9849.05,9958.37
6,ETH/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,2753.33,229902.71,2533.06,3414.12,2742.43,228992.75,INTRADAY_SQUAREOFF,0.02,199.17,0.010829,2489.59,-9.85,2.93,-12.79,-12.79,9958.37,9945.59
7,ETH/INR,5m,LONG,2026-09-23 01:00:00+05:30,2026-09-24 00:10:00+05:30,2765.51,230920.25,2544.27,3429.23,2661.84,222263.5,END_OF_DATA,0.02,198.91,0.010767,2486.4,-93.21,2.88,-96.09,-96.09,9945.59,9849.5
