trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,76445.18,6383172.53,70329.57,88676.41,76643.3,6399715.53,INTRADAY_SQUAREOFF,0.015,150.0,0.000294,1875.0,4.86,2.22,2.64,2.64,10000.0,10002.64
2,BTC/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-19 00:00:00+05:30,76747.36,6408404.75,70607.57,89026.94,80940.99,6758572.32,INTRADAY_SQUAREOFF,0.015,150.04,0.000293,1875.5,102.48,2.27,100.21,100.21,10002.64,10102.85
3,BTC/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-20 00:00:00+05:30,81115.94,6773180.67,74626.66,94094.49,81389.79,6796047.68,INTRADAY_SQUAREOFF,0.015,151.54,0.00028,1894.28,6.4,2.24,4.16,4.16,10102.85,10107.01
4,BTC/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,81313.32,6789662.47,87818.39,68303.19,81294.35,6788078.51,INTRADAY_SQUAREOFF,0.015,151.61,0.000279,1895.06,0.44,2.24,-1.79,-1.79,10107.01,10105.21
5,BTC/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-22 00:00:00+05:30,81151.02,6776109.85,74658.93,94135.18,85899.52,7172610.0,INTRADAY_SQUAREOFF,0.015,151.58,0.00028,1894.73,110.87,2.3,108.57,108.57,10105.21,10213.78
6,BTC/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,86039.13,7184267.43,79156.0,99805.39,86272.69,7203769.92,INTRADAY_SQUAREOFF,0.015,153.21,0.000267,1915.08,5.2,2.26,2.94,2.94,10213.78,10216.72
7,BTC/INR,5m,LONG,2026-09-23 00:25:00+05:30,2026-09-24 00:10:00+05:30,86579.06,7229351.26,79652.73,100431.71,84174.06,7028534.33,END_OF_DATA,0.015,153.25,0.000265,1915.63,-53.21,2.23,-55.44,-55.44,10216.72,10161.28
