strategy,coin,timeframe,params,rr,risk_pct,trades,win_rate,net_profit_inr,final_capital_inr,max_dd_inr,max_dd_pct,profit_factor,expectancy,max_win_streak,max_loss_streak,sharpe,exposure
SINGLE,BTC/USDT,1h,P20x2.0,1:3,1.0,232,26.29,-2858.77,7141.23,4063.09,37.37,0.82,-12.32,3,14,-6.36,79.95
SINGLE,BTC/USDT,1h,P20x2.5,1:2,1.0,234,34.19,-2617.96,7382.04,3603.46,35.83,0.8,-11.19,4,13,-6.97,71.63
SINGLE,BTC/USDT,1h,P20x2.5,1:3,1.0,165,25.45,-2288.47,7711.53,2872.97,28.73,0.8,-13.87,3,13,-6.85,78.92
SINGLE,BTC/USDT,1h,P20x3.0,1:2,1.0,156,35.9,-983.92,9016.08,2608.36,23.19,0.91,-6.31,4,9,-3.23,74.38
SINGLE,BTC/USDT,1h,P20x3.0,1:3,1.0,111,27.03,-909.25,9090.75,2459.1,22.24,0.9,-8.19,4,11,-3.33,79.51
SINGLE,BTC/USDT,1h,P20x3.5,1:2,1.0,136,26.47,-3444.47,6555.53,3467.49,34.6,0.62,-25.33,3,9,-18.61,71.52
SINGLE,BTC/USDT,1h,P20x3.5,1:3,1.0,97,20.62,-2374.82,7625.18,2870.91,28.71,0.66,-24.48,2,13,-13.47,79.23
SINGLE,BTC/USDT,1h,P30x1.5,1:2,1.0,564,31.74,-7413.45,2586.55,7472.84,74.73,0.71,-13.14,5,12,-14.87,68.17
SINGLE,BTC/USDT,1h,P30x1.5,1:3,1.0,384,23.18,-6334.08,3665.92,6404.2,64.04,0.68,-16.5,4,16,-13.19,78.01
SINGLE,BTC/USDT,1h,P30x2.0,1:2,1.0,329,36.78,-2287.06,7712.94,2933.19,29.33,0.88,-6.95,5,10,-4.01,73.22
SINGLE,BTC/USDT,1h,P30x2.0,1:3,1.0,219,25.57,-2954.23,7045.77,3395.54,33.43,0.8,-13.49,3,18,-7.04,83.1
SINGLE,BTC/USDT,1h,P30x2.5,1:2,1.0,272,29.04,-5508.76,4491.24,5616.18,56.16,0.62,-20.25,5,12,-17.57,68.73
SINGLE,BTC/USDT,1h,P30x2.5,1:3,1.0,179,24.02,-3161.18,6838.82,4072.75,37.62,0.76,-17.66,3,13,-9.67,77.84
SINGLE,BTC/USDT,1h,P30x3.0,1:2,1.0,190,27.89,-4244.72,5755.28,4475.04,44.57,0.64,-22.34,3,12,-17.19,68.76
SINGLE,BTC/USDT,1h,P30x3.0,1:3,1.0,138,24.64,-1773.96,8226.04,2367.75,22.75,0.83,-12.85,4,11,-6.03,78.08
SINGLE,BTC/USDT,1h,P30x3.5,1:2,1.0,146,29.45,-2730.76,7269.24,3600.57,33.12,0.74,-18.7,3,21,-12.41,69.95
SINGLE,BTC/USDT,1h,P30x3.5,1:3,1.0,92,28.26,280.79,10280.79,2426.68,19.1,1.04,3.05,3,20,2.07,79.13
DOUBLE,BTC/USDT,1h,F7x1.5_S14x2.5,1:2,1.0,249,28.11,-5517.74,4482.26,5901.72,56.83,0.6,-22.16,6,15,-19.88,56.32
DOUBLE,BTC/USDT,1h,F7x1.5_S14x2.5,1:3,1.0,199,20.6,-5031.29,4968.71,5233.96,52.34,0.6,-25.28,3,15,-18.09,63.01
DOUBLE,BTC/USDT,1h,F7x1.5_S14x3.5,1:2,1.0,177,36.72,-1033.89,8966.11,1432.37,14.25,0.91,-5.84,5,9,-3.01,68.68
DOUBLE,BTC/USDT,1h,F7x1.5_S14x3.5,1:3,1.0,133,29.32,115.08,10115.08,1268.88,11.99,1.01,0.87,3,9,1.1,75.33
DOUBLE,BTC/USDT,1h,F7x1.5_S20x3.0,1:2,1.0,209,31.1,-3794.38,6205.62,3877.83,38.46,0.72,-18.16,3,13,-13.28,60.02
DOUBLE,BTC/USDT,1h,F7x1.5_S20x3.0,1:3,1.0,156,23.08,-3121.52,6878.48,3686.42,36.86,0.71,-20.01,2,14,-11.25,69.81
DOUBLE,BTC/USDT,1h,F7x1.5_S30x2.5,1:2,1.0,244,29.1,-5167.15,4832.85,5792.56,54.52,0.63,-21.18,4,12,-17.96,62.43
DOUBLE,BTC/USDT,1h,F7x1.5_S30x2.5,1:3,1.0,177,22.03,-3841.27,6158.73,3841.27,38.41,0.69,-21.7,3,16,-13.03,72.89
DOUBLE,BTC/USDT,1h,F7x1.5_S30x3.5,1:2,1.0,184,34.24,-1949.17,8050.83,3401.89,29.7,0.85,-10.59,4,10,-6.29,66.15
DOUBLE,BTC/USDT,1h,F7x1.5_S30x3.5,1:3,1.0,142,29.58,568.87,10568.87,2000.03,16.15,1.05,4.01,4,12,2.47,72.35
DOUBLE,BTC/USDT,1h,F7x2.0_S14x3.0,1:2,1.0,178,36.52,-1280.36,8719.64,1415.59,14.05,0.89,-7.19,3,10,-3.93,56.54
DOUBLE,BTC/USDT,1h,F7x2.0_S14x3.0,1:3,1.0,131,31.3,890.42,10890.42,1210.57,10.31,1.08,6.8,5,10,3.67,64.3
DOUBLE,BTC/USDT,1h,F7x2.0_S20x2.5,1:2,1.0,195,31.79,-3297.24,6702.76,4145.55,38.85,0.73,-16.91,4,9,-11.8,67.19
DOUBLE,BTC/USDT,1h,F7x2.0_S20x2.5,1:3,1.0,142,28.87,-630.71,9369.29,2000.3,17.82,0.94,-4.44,7,9,-1.46,76.32
DOUBLE,BTC/USDT,1h,F7x2.0_S20x3.5,1:2,1.0,142,39.44,608.5,10608.5,1354.03,11.47,1.06,4.28,5,11,2.92,61.87
DOUBLE,BTC/USDT,1h,F7x2.0_S20x3.5,1:3,1.0,118,27.12,-618.25,9381.75,1960.92,17.29,0.93,-5.24,4,17,-1.82,71.14
DOUBLE,BTC/USDT,1h,F7x2.0_S30x3.0,1:2,1.0,163,33.13,-2306.65,7693.35,2753.14,26.35,0.79,-14.15,3,10,-9.07,65.29
DOUBLE,BTC/USDT,1h,F7x2.0_S30x3.0,1:3,1.0,126,27.78,-703.07,9296.93,2114.96,19.03,0.93,-5.58,3,13,-2.04,73.32
DOUBLE,BTC/USDT,1h,F7x2.5_S14x2.5,1:2,1.0,222,33.78,-2956.31,7043.69,3371.56,33.25,0.77,-13.32,3,9,-8.86,63.84
DOUBLE,BTC/USDT,1h,F7x2.5_S14x2.5,1:3,1.0,154,29.87,-87.36,9912.64,2311.65,19.04,0.99,-0.57,3,15,0.43,74.38
DOUBLE,BTC/USDT,1h,F7x2.5_S14x3.5,1:2,1.0,125,33.6,-1603.61,8396.39,2666.97,24.11,0.82,-12.83,3,15,-7.74,59.63
DOUBLE,BTC/USDT,1h,F7x2.5_S14x3.5,1:3,1.0,105,25.71,-1215.89,8784.11,2076.31,19.21,0.86,-11.58,3,15,-5.24,67.17
DOUBLE,BTC/USDT,1h,F7x2.5_S20x3.0,1:2,1.0,149,34.9,-1329.1,8670.9,1839.92,17.77,0.87,-8.92,5,12,-5.04,63.44
DOUBLE,BTC/USDT,1h,F7x2.5_S20x3.0,1:3,1.0,102,31.37,781.27,10781.27,1425.57,12.46,1.1,7.66,3,12,4.09,72.14
DOUBLE,BTC/USDT,1h,F7x2.5_S30x2.5,1:2,1.0,221,32.58,-3361.09,6638.91,3717.3,36.67,0.75,-15.21,4,13,-10.57,62.23
DOUBLE,BTC/USDT,1h,F7x2.5_S30x2.5,1:3,1.0,172,27.91,-1060.9,8939.1,2340.19,21.79,0.92,-6.17,4,11,-2.4,70.54
DOUBLE,BTC/USDT,1h,F7x2.5_S30x3.5,1:2,1.0,121,37.19,-303.28,9696.72,1228.01,11.29,0.96,-2.51,4,8,-0.89,62.93
DOUBLE,BTC/USDT,1h,F7x2.5_S30x3.5,1:3,1.0,89,25.84,-865.29,9134.71,1666.42,16.02,0.88,-9.72,3,14,-4.1,74.08
DOUBLE,BTC/USDT,1h,F10x1.5_S14x3.0,1:2,1.0,210,34.76,-2463.09,7536.91,2528.66,25.12,0.81,-11.73,4,10,-7.48,59.14
DOUBLE,BTC/USDT,1h,F10x1.5_S14x3.0,1:3,1.0,182,24.18,-2992.32,7007.68,2992.32,29.92,0.76,-16.44,3,12,-8.95,64.38
DOUBLE,BTC/USDT,1h,F10x1.5_S20x2.5,1:2,1.0,237,31.22,-4383.2,5616.8,4574.01,44.88,0.7,-18.49,4,12,-14.34,58.62
DOUBLE,BTC/USDT,1h,F10x1.5_S20x2.5,1:3,1.0,194,24.23,-3545.15,6454.85,4395.86,40.51,0.76,-18.27,3,13,-10.72,66.36
DOUBLE,BTC/USDT,1h,F10x1.5_S20x3.5,1:2,1.0,186,34.95,-1692.19,8307.81,2677.6,24.47,0.87,-9.1,5,10,-5.18,68.33
DOUBLE,BTC/USDT,1h,F10x1.5_S20x3.5,1:3,1.0,153,24.84,-2089.98,7910.02,2819.13,26.28,0.83,-13.66,4,12,-6.6,74.37
DOUBLE,BTC/USDT,1h,F10x1.5_S30x3.0,1:2,1.0,218,28.9,-4781.64,5218.36,4887.78,48.36,0.65,-21.93,4,13,-18.06,61.74
DOUBLE,BTC/USDT,1h,F10x1.5_S30x3.0,1:3,1.0,191,18.85,-5469.62,4530.38,5469.62,54.7,0.56,-28.64,3,15,-22.36,65.88
DOUBLE,BTC/USDT,1h,F10x2.0_S14x2.5,1:2,1.0,178,29.21,-4059.61,5940.39,4568.98,43.99,0.66,-22.81,2,15,-17.76,62.31
DOUBLE,BTC/USDT,1h,F10x2.0_S14x2.5,1:3,1.0,145,22.07,-3481.83,6518.17,3880.09,37.56,0.68,-24.01,2,13,-14.55,70.79
DOUBLE,BTC/USDT,1h,F10x2.0_S14x3.5,1:2,1.0,133,39.1,137.69,10137.69,1023.23,9.68,1.01,1.04,5,6,1.15,61.6
DOUBLE,BTC/USDT,1h,F10x2.0_S14x3.5,1:3,1.0,100,32.0,1296.93,11296.93,1105.33,11.05,1.17,12.97,4,11,6.16,72.78
DOUBLE,BTC/USDT,1h,F10x2.0_S20x3.0,1:2,1.0,173,33.53,-2408.95,7591.05,3284.96,30.91,0.79,-13.92,5,13,-8.92,53.3
DOUBLE,BTC/USDT,1h,F10x2.0_S20x3.0,1:3,1.0,136,27.94,-848.1,9151.9,1937.03,18.5,0.92,-6.24,3,13,-2.39,61.89
DOUBLE,BTC/USDT,1h,F10x2.0_S30x2.5,1:2,1.0,223,30.04,-4378.68,5621.32,5347.85,50.0,0.69,-19.64,4,13,-15.18,58.56
DOUBLE,BTC/USDT,1h,F10x2.0_S30x2.5,1:3,1.0,163,23.93,-3051.6,6948.4,3789.19,36.69,0.74,-18.72,3,17,-10.38,69.52
DOUBLE,BTC/USDT,1h,F10x2.0_S30x3.5,1:2,1.0,148,38.51,220.95,10220.95,1103.46,11.03,1.02,1.49,5,11,1.41,60.29
DOUBLE,BTC/USDT,1h,F10x2.0_S30x3.5,1:3,1.0,111,31.53,1300.7,11300.7,1201.31,12.01,1.15,11.72,3,12,5.6,69.32
DOUBLE,BTC/USDT,1h,F10x2.5_S14x3.0,1:2,1.0,153,32.68,-2123.94,7876.06,2311.38,23.11,0.79,-13.88,2,7,-8.63,62.24
DOUBLE,BTC/USDT,1h,F10x2.5_S14x3.0,1:3,1.0,119,25.21,-1559.9,8440.1,2598.07,24.04,0.83,-13.11,3,15,-6.18,69.22
DOUBLE,BTC/USDT,1h,F10x2.5_S20x2.5,1:2,1.0,219,33.79,-2674.72,7325.28,3213.4,31.96,0.79,-12.21,5,9,-7.8,64.06
DOUBLE,BTC/USDT,1h,F10x2.5_S20x2.5,1:3,1.0,168,27.38,-1246.31,8753.69,2100.61,21.01,0.9,-7.42,4,13,-3.04,72.44
DOUBLE,BTC/USDT,1h,F10x2.5_S20x3.5,1:2,1.0,106,34.91,-883.6,9116.4,1772.87,16.28,0.88,-8.34,4,13,-4.52,63.02
DOUBLE,BTC/USDT,1h,F10x2.5_S20x3.5,1:3,1.0,87,25.29,-1227.2,8772.8,1561.09,15.11,0.82,-14.11,2,11,-6.66,70.24
DOUBLE,BTC/USDT,1h,F10x2.5_S30x3.0,1:2,1.0,178,35.96,-1305.5,8694.5,1469.0,14.45,0.89,-7.33,4,8,-3.98,60.35
DOUBLE,BTC/USDT,1h,F10x2.5_S30x3.0,1:3,1.0,138,23.91,-2548.55,7451.45,2686.02,26.84,0.75,-18.47,3,13,-9.92,68.32
DOUBLE,BTC/USDT,1h,F14x1.5_S20x2.5,1:2,1.0,228,35.09,-2523.01,7476.99,3158.57,30.01,0.83,-11.07,3,10,-6.96,62.24
DOUBLE,BTC/USDT,1h,F14x1.5_S20x2.5,1:3,1.0,195,25.13,-3169.07,6830.93,3402.58,33.25,0.77,-16.25,3,12,-9.01,68.2
DOUBLE,BTC/USDT,1h,F14x1.5_S20x3.5,1:2,1.0,198,34.85,-1811.06,8188.94,2831.66,25.76,0.87,-9.15,5,9,-5.25,66.28
DOUBLE,BTC/USDT,1h,F14x1.5_S20x3.5,1:3,1.0,152,23.68,-2661.67,7338.33,2690.92,26.83,0.77,-17.51,3,13,-9.15,74.23
DOUBLE,BTC/USDT,1h,F14x1.5_S30x3.0,1:2,1.0,204,30.39,-4002.5,5997.5,4448.57,42.59,0.7,-19.62,4,15,-14.69,64.74
DOUBLE,BTC/USDT,1h,F14x1.5_S30x3.0,1:3,1.0,177,22.03,-3917.75,6082.25,4009.7,40.07,0.69,-22.13,3,15,-13.76,72.72
DOUBLE,BTC/USDT,1h,F14x2.0_S20x2.5,1:2,1.0,203,32.51,-3011.11,6988.89,3890.08,38.16,0.75,-14.83,6,15,-9.92,61.95
DOUBLE,BTC/USDT,1h,F14x2.0_S20x2.5,1:3,1.0,165,20.0,-4424.28,5575.72,4644.46,46.25,0.6,-26.81,2,18,-17.84,70.52
