trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,1887.58,157613.21,1868.71,1944.21,1910.94,159563.83,INTRADAY_SQUAREOFF,0.01,100.0,0.060274,9500.0,117.57,11.28,106.29,106.29,10000.0,10106.29
2,ETH/INR,15m,LONG,2026-07-27 07:30:00+05:30,2026-07-27 20:00:00+05:30,1947.49,162615.69,1928.02,2005.92,1927.05,160909.04,STOP_LOSS,0.01,101.06,0.059041,9600.98,-100.76,11.27,-112.03,-112.03,10106.29,9994.26
3,ETH/INR,15m,SHORT,2026-07-27 23:45:00+05:30,2026-07-28 00:15:00+05:30,1938.23,161842.23,1957.61,1880.08,1934.37,161519.62,INTRADAY_SQUAREOFF,0.01,99.94,0.058665,9494.55,18.93,11.19,7.73,7.73,9994.26,10001.99
4,ETH/INR,15m,SHORT,2026-07-28 01:45:00+05:30,2026-07-28 04:30:00+05:30,1942.39,162189.42,1961.81,1884.12,1885.06,157402.4,TARGET_HIT,0.01,100.02,0.058585,9501.89,280.45,11.05,269.4,269.4,10001.99,10271.4
5,ETH/INR,15m,SHORT,2026-07-28 06:30:00+05:30,2026-07-28 18:30:00+05:30,1875.23,156581.87,1893.98,1818.98,1894.93,158226.76,STOP_LOSS,0.01,102.71,0.062318,9757.83,-102.51,11.57,-114.08,-114.08,10271.4,10157.32
6,ETH/INR,15m,LONG,2026-07-28 22:15:00+05:30,2026-07-28 23:00:00+05:30,1922.64,160540.51,1903.41,1980.32,1902.46,158855.64,STOP_LOSS,0.01,101.57,0.060106,9649.45,-101.27,11.33,-112.6,-112.6,10157.32,10044.72
7,ETH/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-29 09:00:00+05:30,1917.22,160087.71,1898.05,1974.73,1897.1,158407.59,STOP_LOSS,0.01,100.45,0.059608,9542.48,-100.15,11.2,-111.35,-111.35,10044.72,9933.37
8,ETH/INR,15m,LONG,2026-07-29 14:45:00+05:30,2026-07-29 19:15:00+05:30,1918.36,160182.95,1899.18,1975.91,1898.23,158501.83,STOP_LOSS,0.01,99.33,0.058912,9436.7,-99.04,11.08,-110.12,-110.12,9933.37,9823.25
9,ETH/INR,15m,SHORT,2026-07-29 21:15:00+05:30,2026-07-29 23:15:00+05:30,1887.49,157605.07,1906.36,1830.86,1907.31,159260.71,STOP_LOSS,0.01,98.23,0.059212,9332.09,-98.03,11.07,-109.1,-109.1,9823.25,9714.15
10,ETH/INR,15m,SHORT,2026-07-30 04:45:00+05:30,2026-07-30 07:15:00+05:30,1899.25,158587.36,1918.24,1842.27,1919.2,160253.32,STOP_LOSS,0.01,97.14,0.058192,9228.44,-96.94,10.95,-107.89,-107.89,9714.15,9606.26
11,ETH/INR,15m,LONG,2026-07-30 16:15:00+05:30,2026-07-31 00:00:00+05:30,1920.15,160332.49,1900.95,1977.75,1917.54,160114.65,INTRADAY_SQUAREOFF,0.01,96.06,0.056919,9125.95,-12.4,10.76,-23.16,-23.16,9606.26,9583.1
12,ETH/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-07-31 07:45:00+05:30,1922.08,160493.73,1902.86,1979.74,1901.91,158809.34,STOP_LOSS,0.01,95.83,0.056725,9103.94,-95.55,10.69,-106.23,-106.23,9583.1,9476.87
13,ETH/INR,15m,SHORT,2026-07-31 09:45:00+05:30,2026-08-01 00:00:00+05:30,1902.14,158828.56,1921.16,1845.07,1868.35,156007.54,INTRADAY_SQUAREOFF,0.01,94.77,0.056684,9003.02,159.91,10.53,149.38,149.38,9476.87,9626.24
14,ETH/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,1858.62,155194.79,1877.21,1802.86,1852.74,154703.45,INTRADAY_SQUAREOFF,0.01,96.26,0.058926,9144.93,28.95,10.77,18.18,18.18,9626.24,9644.42
15,ETH/INR,15m,LONG,2026-08-02 07:45:00+05:30,2026-08-02 17:00:00+05:30,1878.33,156840.45,1859.55,1934.68,1858.62,155194.41,STOP_LOSS,0.01,96.44,0.058417,9162.2,-96.16,10.75,-106.91,-106.91,9644.42,9537.51
16,ETH/INR,15m,SHORT,2026-08-02 20:30:00+05:30,2026-08-03 00:00:00+05:30,1851.78,154623.93,1870.3,1796.23,1871.24,156248.26,STOP_LOSS,0.01,95.38,0.058598,9060.63,-95.18,10.75,-105.93,-105.93,9537.51,9431.58
17,ETH/INR,15m,LONG,2026-08-03 01:15:00+05:30,2026-08-03 09:00:00+05:30,1877.72,156789.49,1858.94,1934.05,1858.01,155143.98,STOP_LOSS,0.01,94.32,0.057147,8960.0,-94.04,10.52,-104.55,-104.55,9431.58,9327.03
18,ETH/INR,15m,SHORT,2026-08-03 10:30:00+05:30,2026-08-03 20:15:00+05:30,1851.48,154598.9,1870.0,1795.94,1870.93,156222.96,STOP_LOSS,0.01,93.27,0.057314,8860.68,-93.08,10.51,-103.59,-103.59,9327.03,9223.44
19,ETH/INR,15m,LONG,2026-08-03 23:45:00+05:30,2026-08-04 00:15:00+05:30,1872.59,156360.92,1853.86,1928.76,1866.29,155834.91,INTRADAY_SQUAREOFF,0.01,92.23,0.056039,8762.26,-29.48,10.32,-39.8,-39.8,9223.44,9183.64
