trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,76445.18,6383172.53,75298.5,79885.21,76643.3,6399715.53,INTRADAY_SQUAREOFF,0.01,100.0,0.001044,6666.67,17.28,7.88,9.4,9.4,10000.0,10009.4
2,BTC/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-18 19:20:00+05:30,76747.36,6408404.75,75596.15,80200.99,80160.89,6693434.58,TARGET_HIT,0.01,100.09,0.001041,6672.93,296.8,8.05,288.75,288.75,10009.4,10298.15
3,BTC/INR,5m,LONG,2026-09-18 19:35:00+05:30,2026-09-19 00:00:00+05:30,80368.55,6710773.67,79163.02,83985.13,80940.99,6758572.32,INTRADAY_SQUAREOFF,0.01,102.98,0.001023,6865.43,48.9,8.13,40.77,40.77,10298.15,10338.92
4,BTC/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-20 00:00:00+05:30,81115.94,6773180.67,79899.2,84766.15,81389.79,6796047.68,INTRADAY_SQUAREOFF,0.01,103.39,0.001018,6892.61,23.27,8.15,15.12,15.12,10338.92,10354.04
5,BTC/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,81313.32,6789662.47,82533.02,77654.22,81294.35,6788078.51,INTRADAY_SQUAREOFF,0.01,103.54,0.001017,6902.69,1.61,8.14,-6.53,-6.53,10354.04,10347.51
6,BTC/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 15:05:00+05:30,81151.02,6776109.85,79933.75,84802.81,84760.41,7077494.28,TARGET_HIT,0.01,103.48,0.001018,6898.34,306.82,8.32,298.5,298.5,10347.51,10646.01
7,BTC/INR,5m,LONG,2026-09-21 15:50:00+05:30,2026-09-22 00:00:00+05:30,84724.83,7074523.59,83453.96,88537.45,85899.52,7172610.0,INTRADAY_SQUAREOFF,0.01,106.46,0.001003,7097.34,98.4,8.43,89.97,89.97,10646.01,10735.98
8,BTC/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,86039.13,7184267.43,84748.54,89910.89,86272.69,7203769.92,INTRADAY_SQUAREOFF,0.01,107.36,0.000996,7157.32,19.43,8.46,10.97,10.97,10735.98,10746.95
9,BTC/INR,5m,LONG,2026-09-23 00:25:00+05:30,2026-09-23 17:45:00+05:30,86579.06,7229351.26,85280.37,90475.11,85237.73,7117350.53,STOP_LOSS,0.01,107.47,0.000991,7164.63,-111.0,8.39,-119.39,-119.39,10746.95,10627.56
10,BTC/INR,5m,SHORT,2026-09-23 18:15:00+05:30,2026-09-24 00:00:00+05:30,85390.15,7130077.59,86671.0,81547.59,84179.19,7028962.01,INTRADAY_SQUAREOFF,0.01,106.28,0.000994,7085.04,100.48,8.3,92.18,92.18,10627.56,10719.74
