trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,5m,LONG,2026-09-17 13:35:00+05:30,2026-09-18 00:00:00+05:30,100.12,8360.02,99.12,103.12,101.19,8449.31,INTRADAY_SQUAREOFF,0.01,100.0,1.136361,9500.0,101.47,11.27,90.2,90.2,10000.0,10090.2
2,SOL/INR,5m,SHORT,2026-09-18 01:10:00+05:30,2026-09-18 06:50:00+05:30,100.72,8410.09,101.73,97.7,101.78,8498.44,STOP_LOSS,0.01,100.9,1.139784,9585.69,-100.7,11.37,-112.07,-112.07,10090.2,9978.13
3,SOL/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-18 10:25:00+05:30,102.49,8558.02,101.47,105.57,105.51,8810.35,TARGET_HIT,0.01,99.78,1.107642,9479.22,279.49,11.35,268.14,268.14,9978.13,10246.27
4,SOL/INR,5m,LONG,2026-09-18 11:05:00+05:30,2026-09-18 19:20:00+05:30,105.86,8839.55,104.8,109.04,108.98,9100.19,TARGET_HIT,0.01,102.46,1.101182,9733.96,287.01,11.66,275.35,275.35,10246.27,10521.62
5,SOL/INR,5m,LONG,2026-09-18 19:45:00+05:30,2026-09-18 22:55:00+05:30,109.03,9104.38,107.94,112.31,112.25,9372.82,TARGET_HIT,0.01,105.22,1.097883,9995.54,294.72,11.97,282.75,282.75,10521.62,10804.37
6,SOL/INR,5m,LONG,2026-09-18 23:15:00+05:30,2026-09-19 00:00:00+05:30,112.65,9405.97,111.52,116.03,112.7,9410.75,INTRADAY_SQUAREOFF,0.01,108.04,1.091239,10264.15,5.22,12.11,-6.89,-6.89,10804.37,10797.48
7,SOL/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-19 11:30:00+05:30,112.86,9423.51,111.73,116.24,111.67,9324.61,STOP_LOSS,0.01,107.97,1.088512,10257.61,-107.65,12.04,-119.69,-119.69,10797.48,10677.79
8,SOL/INR,5m,SHORT,2026-09-19 11:50:00+05:30,2026-09-20 00:00:00+05:30,111.52,9312.27,112.64,108.18,111.0,9268.12,INTRADAY_SQUAREOFF,0.01,106.78,1.089304,10143.9,48.09,11.94,36.15,36.15,10677.79,10713.94
9,SOL/INR,5m,SHORT,2026-09-20 00:15:00+05:30,2026-09-20 08:25:00+05:30,110.91,9261.36,112.02,107.59,107.64,8988.01,TARGET_HIT,0.01,107.14,1.099001,10178.24,300.41,11.83,288.58,288.58,10713.94,11002.52
10,SOL/INR,5m,SHORT,2026-09-20 08:45:00+05:30,2026-09-20 09:20:00+05:30,107.81,9001.81,108.88,104.57,108.94,9096.37,STOP_LOSS,0.01,110.03,1.161144,10452.39,-109.8,12.4,-122.2,-122.2,11002.52,10880.32
11,SOL/INR,5m,SHORT,2026-09-20 09:50:00+05:30,2026-09-20 22:00:00+05:30,108.6,9067.74,109.68,105.34,109.74,9163.0,STOP_LOSS,0.01,108.8,1.139898,10336.3,-108.58,12.26,-120.84,-120.84,10880.32,10759.47
12,SOL/INR,5m,LONG,2026-09-20 23:10:00+05:30,2026-09-21 00:00:00+05:30,110.4,9218.0,109.29,113.71,110.23,9204.61,INTRADAY_SQUAREOFF,0.01,107.59,1.108863,10221.5,-14.84,12.05,-26.9,-26.9,10759.47,10732.58
13,SOL/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 06:50:00+05:30,109.85,9172.88,108.76,113.15,113.09,9443.35,TARGET_HIT,0.01,107.33,1.111531,10195.95,300.63,12.21,288.42,288.42,10732.58,11020.99
14,SOL/INR,5m,SHORT,2026-09-21 08:05:00+05:30,2026-09-21 10:55:00+05:30,110.84,9255.52,111.95,107.52,112.01,9352.75,STOP_LOSS,0.01,110.21,1.131211,10469.95,-109.99,12.42,-122.41,-122.41,11020.99,10898.59
15,SOL/INR,5m,LONG,2026-09-21 11:35:00+05:30,2026-09-21 14:10:00+05:30,112.03,9354.17,110.91,115.39,115.33,9629.98,TARGET_HIT,0.01,108.99,1.10685,10353.66,305.28,12.4,292.88,292.88,10898.59,11191.47
16,SOL/INR,5m,LONG,2026-09-21 15:00:00+05:30,2026-09-22 00:00:00+05:30,116.09,9693.35,114.93,119.57,117.4,9803.01,INTRADAY_SQUAREOFF,0.01,111.91,1.096824,10631.9,120.27,12.62,107.66,107.66,11191.47,11299.13
17,SOL/INR,5m,LONG,2026-09-22 01:30:00+05:30,2026-09-22 06:45:00+05:30,118.48,9893.01,117.29,122.03,117.24,9789.19,STOP_LOSS,0.01,112.99,1.085025,10734.17,-112.66,12.6,-125.25,-125.25,11299.13,11173.87
18,SOL/INR,5m,SHORT,2026-09-22 07:20:00+05:30,2026-09-22 23:45:00+05:30,117.26,9791.32,118.43,113.74,118.49,9894.18,STOP_LOSS,0.01,111.74,1.084141,10615.18,-111.51,12.59,-124.1,-124.1,11173.87,11049.77
