trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,76445.18,6383172.53,75298.5,78738.54,76643.3,6399715.53,INTRADAY_SQUAREOFF,0.01,100.0,0.001044,6666.67,17.28,7.88,9.4,9.4,10000.0,10009.4
2,BTC/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-18 19:10:00+05:30,76747.36,6408404.75,75596.15,79049.78,79010.26,6597356.57,TARGET_HIT,0.01,100.09,0.001041,6672.93,196.75,7.99,188.76,188.76,10009.4,10198.16
3,BTC/INR,5m,LONG,2026-09-18 19:35:00+05:30,2026-09-19 00:00:00+05:30,80368.55,6710773.67,79163.02,82779.6,80940.99,6758572.32,INTRADAY_SQUAREOFF,0.01,101.98,0.001013,6798.77,48.43,8.05,40.37,40.37,10198.16,10238.54
4,BTC/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-20 00:00:00+05:30,81115.94,6773180.67,79899.2,83549.41,81389.79,6796047.68,INTRADAY_SQUAREOFF,0.01,102.39,0.001008,6825.69,23.04,8.07,14.98,14.98,10238.54,10253.51
5,BTC/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,81313.32,6789662.47,82533.02,78873.92,81294.35,6788078.51,INTRADAY_SQUAREOFF,0.01,102.54,0.001007,6835.68,1.59,8.07,-6.47,-6.47,10253.51,10247.04
6,BTC/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 14:05:00+05:30,81151.02,6776109.85,79933.75,83585.55,83543.75,6975903.45,TARGET_HIT,0.01,102.47,0.001008,6831.36,201.42,8.18,193.24,193.24,10247.04,10440.29
7,BTC/INR,5m,LONG,2026-09-21 15:00:00+05:30,2026-09-22 00:00:00+05:30,84567.26,7061366.42,83298.75,87104.28,85899.52,7172610.0,INTRADAY_SQUAREOFF,0.01,104.4,0.000986,6960.19,109.65,8.28,101.37,101.37,10440.29,10541.66
8,BTC/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,86039.13,7184267.43,84748.54,88620.3,86272.69,7203769.92,INTRADAY_SQUAREOFF,0.01,105.42,0.000978,7027.77,19.08,8.3,10.77,10.77,10541.66,10552.43
9,BTC/INR,5m,LONG,2026-09-23 00:25:00+05:30,2026-09-23 17:45:00+05:30,86579.06,7229351.26,85280.37,89176.43,85237.73,7117350.53,STOP_LOSS,0.01,105.52,0.000973,7034.95,-108.99,8.24,-117.23,-117.23,10552.43,10435.2
10,BTC/INR,5m,SHORT,2026-09-23 18:15:00+05:30,2026-09-24 00:00:00+05:30,85390.15,7130077.59,86671.0,82828.45,84179.19,7028962.01,INTRADAY_SQUAREOFF,0.01,104.35,0.000976,6956.8,98.66,8.15,90.51,90.51,10435.2,10525.71
