trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,ETH/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,2441.94,203902.02,2417.52,2515.2,2457.38,205191.3,INTRADAY_SQUAREOFF,0.01,100.0,0.046591,9500.0,60.07,11.25,48.82,48.82,10000.0,10048.82
2,ETH/INR,5m,SHORT,2026-09-18 00:30:00+05:30,2026-09-18 08:45:00+05:30,2448.38,204439.34,2472.86,2374.92,2474.1,206586.97,STOP_LOSS,0.01,100.49,0.046695,9546.38,-100.28,11.32,-111.61,-111.61,10048.82,9937.21
3,ETH/INR,5m,LONG,2026-09-18 09:20:00+05:30,2026-09-18 19:15:00+05:30,2479.3,207021.47,2454.51,2553.68,2552.4,213125.5,TARGET_HIT,0.01,99.37,0.045601,9440.35,278.35,11.3,267.04,267.04,9937.21,10204.26
4,ETH/INR,5m,LONG,2026-09-18 19:35:00+05:30,2026-09-19 00:00:00+05:30,2564.67,214150.08,2539.02,2641.61,2608.42,217802.66,INTRADAY_SQUAREOFF,0.01,102.04,0.045268,9694.05,165.34,11.54,153.81,153.81,10204.26,10358.07
5,ETH/INR,5m,LONG,2026-09-19 00:35:00+05:30,2026-09-20 00:00:00+05:30,2620.14,218781.65,2593.94,2698.74,2639.06,220361.48,INTRADAY_SQUAREOFF,0.01,103.58,0.044977,9840.16,71.06,11.65,59.4,59.4,10358.07,10417.47
6,ETH/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,2632.33,219799.81,2658.66,2553.36,2639.17,220370.61,INTRADAY_SQUAREOFF,0.01,104.17,0.045025,9896.6,-25.7,11.69,-37.39,-37.39,10417.47,10380.08
7,ETH/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 14:55:00+05:30,2630.09,219612.88,2603.79,2709.0,2707.64,226088.17,TARGET_HIT,0.01,103.8,0.044902,9861.07,290.75,11.81,278.95,278.95,10380.08,10659.02
8,ETH/INR,5m,LONG,2026-09-21 16:15:00+05:30,2026-09-22 00:00:00+05:30,2716.97,226866.82,2689.8,2798.48,2750.04,229628.69,INTRADAY_SQUAREOFF,0.01,106.59,0.044634,10126.07,123.27,12.02,111.25,111.25,10659.02,10770.28
9,ETH/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-22 08:40:00+05:30,2753.33,229902.71,2725.79,2835.93,2724.43,227489.89,STOP_LOSS,0.01,107.7,0.044505,10231.76,-107.38,12.01,-119.39,-119.39,10770.28,10650.88
10,ETH/INR,5m,SHORT,2026-09-22 09:40:00+05:30,2026-09-22 18:30:00+05:30,2735.66,228427.74,2763.02,2653.59,2764.4,230827.37,STOP_LOSS,0.01,106.51,0.044296,10118.34,-106.29,12.0,-118.3,-118.3,10650.88,10532.59
11,ETH/INR,5m,LONG,2026-09-23 01:00:00+05:30,2026-09-23 03:40:00+05:30,2765.51,230920.25,2737.86,2848.48,2736.49,228496.74,STOP_LOSS,0.01,105.33,0.043331,10005.96,-105.01,11.75,-116.76,-116.76,10532.59,10415.83
12,ETH/INR,5m,LONG,2026-09-23 04:40:00+05:30,2026-09-23 13:05:00+05:30,2770.84,231365.53,2743.14,2853.97,2741.76,228937.35,STOP_LOSS,0.01,104.16,0.042768,9895.04,-103.85,11.61,-115.46,-115.46,10415.83,10300.37
13,ETH/INR,5m,SHORT,2026-09-23 13:35:00+05:30,2026-09-23 19:45:00+05:30,2739.83,228775.75,2767.23,2657.63,2658.96,222023.43,TARGET_HIT,0.01,103.0,0.042773,9785.35,288.81,11.38,277.44,277.44,10300.37,10577.8
14,ETH/INR,5m,SHORT,2026-09-23 21:00:00+05:30,2026-09-24 00:00:00+05:30,2672.74,223174.04,2699.47,2592.56,2661.95,222272.86,INTRADAY_SQUAREOFF,0.01,105.78,0.045027,10048.91,40.58,11.83,28.74,28.74,10577.8,10606.55
