trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,BTC/INR,5m,LONG,2026-09-17 10:55:00+05:30,2026-09-18 00:00:00+05:30,76445.18,6383172.53,74916.28,79502.99,76643.3,6399715.53,INTRADAY_SQUAREOFF,0.01,100.0,0.000783,5000.0,12.96,5.91,7.05,7.05,10000.0,10007.05
2,BTC/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-18 19:15:00+05:30,76747.36,6408404.75,75212.42,79817.26,79777.35,6661408.57,TARGET_HIT,0.01,100.07,0.000781,5003.53,197.54,6.02,191.52,191.52,10007.05,10198.57
3,BTC/INR,5m,LONG,2026-09-18 19:35:00+05:30,2026-09-19 00:00:00+05:30,80368.55,6710773.67,78761.18,83583.29,80940.99,6758572.32,INTRADAY_SQUAREOFF,0.01,101.99,0.00076,5099.28,36.32,6.04,30.28,30.28,10198.57,10228.85
4,BTC/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-20 00:00:00+05:30,81115.94,6773180.67,79493.62,84360.57,81389.79,6796047.68,INTRADAY_SQUAREOFF,0.01,102.29,0.000755,5114.43,17.27,6.05,11.22,11.22,10228.85,10240.07
5,BTC/INR,5m,SHORT,2026-09-20 00:45:00+05:30,2026-09-21 00:00:00+05:30,81313.32,6789662.47,82939.59,78060.79,81294.35,6788078.51,INTRADAY_SQUAREOFF,0.01,102.4,0.000754,5120.04,1.19,6.04,-4.85,-4.85,10240.07,10235.23
6,BTC/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 14:55:00+05:30,81151.02,6776109.85,79528.0,84397.06,84354.86,7043630.67,TARGET_HIT,0.01,102.35,0.000755,5117.61,202.04,6.16,195.89,195.89,10235.23,10431.11
7,BTC/INR,5m,LONG,2026-09-21 15:50:00+05:30,2026-09-22 00:00:00+05:30,84724.83,7074523.59,83030.34,88113.83,85899.52,7172610.0,INTRADAY_SQUAREOFF,0.01,104.31,0.000737,5215.56,72.31,6.2,66.12,66.12,10431.11,10497.23
8,BTC/INR,5m,LONG,2026-09-22 00:20:00+05:30,2026-09-23 00:00:00+05:30,86039.13,7184267.43,84318.35,89480.7,86272.69,7203769.92,INTRADAY_SQUAREOFF,0.01,104.97,0.000731,5248.61,14.25,6.2,8.05,8.05,10497.23,10505.27
9,BTC/INR,5m,LONG,2026-09-23 00:25:00+05:30,2026-09-23 19:40:00+05:30,86579.06,7229351.26,84847.48,90042.22,84805.05,7081221.85,STOP_LOSS,0.01,105.05,0.000727,5252.64,-107.63,6.13,-113.76,-113.76,10505.27,10391.51
10,BTC/INR,5m,SHORT,2026-09-23 21:00:00+05:30,2026-09-24 00:00:00+05:30,84462.96,7052657.02,86152.22,81084.44,84179.19,7028962.01,INTRADAY_SQUAREOFF,0.01,103.92,0.000737,5195.76,17.46,6.12,11.34,11.34,10391.51,10402.85
