trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,15m,LONG,2026-07-26 19:15:00+05:30,2026-07-27 00:00:00+05:30,74.93,6256.44,74.18,77.18,75.25,6283.57,INTRADAY_SQUAREOFF,0.01,100.0,1.518435,9500.0,41.2,11.23,29.96,29.96,10000.0,10029.96
2,SOL/INR,15m,LONG,2026-07-27 03:45:00+05:30,2026-07-27 20:00:00+05:30,76.14,6357.53,75.38,78.42,75.34,6290.8,STOP_LOSS,0.01,100.3,1.498769,9528.46,-100.0,11.18,-111.19,-111.19,10029.96,9918.78
3,SOL/INR,15m,SHORT,2026-07-27 21:30:00+05:30,2026-07-27 22:30:00+05:30,75.16,6276.06,75.91,72.91,75.95,6341.99,STOP_LOSS,0.01,99.19,1.501394,9422.84,-98.99,11.18,-110.16,-110.16,9918.78,9808.61
4,SOL/INR,15m,SHORT,2026-07-27 23:45:00+05:30,2026-07-28 00:15:00+05:30,75.65,6316.96,76.41,73.38,75.4,6295.71,INTRADAY_SQUAREOFF,0.01,98.09,1.475106,9318.18,31.34,10.98,20.37,20.37,9808.61,9828.98
5,SOL/INR,15m,SHORT,2026-07-28 03:00:00+05:30,2026-07-28 06:30:00+05:30,75.47,6301.93,76.23,73.21,73.24,6115.93,TARGET_HIT,0.01,98.29,1.481693,9337.53,275.6,10.86,264.74,264.74,9828.98,10093.72
6,SOL/INR,15m,SHORT,2026-07-28 10:00:00+05:30,2026-07-28 20:45:00+05:30,73.0,6095.79,73.73,70.81,73.77,6159.83,STOP_LOSS,0.01,100.94,1.573058,9589.03,-100.73,11.37,-112.11,-112.11,10093.72,9981.61
7,SOL/INR,15m,LONG,2026-07-29 01:00:00+05:30,2026-07-29 04:30:00+05:30,74.04,6182.09,73.3,76.26,73.26,6117.21,STOP_LOSS,0.01,99.82,1.533872,9482.53,-99.52,11.13,-110.65,-110.65,9981.61,9870.96
8,SOL/INR,15m,SHORT,2026-07-29 09:30:00+05:30,2026-07-29 11:00:00+05:30,72.89,6086.61,73.62,70.71,73.66,6150.55,STOP_LOSS,0.01,98.71,1.540663,9377.41,-98.51,11.12,-109.63,-109.63,9870.96,9761.33
9,SOL/INR,15m,LONG,2026-07-29 14:15:00+05:30,2026-07-29 18:45:00+05:30,74.08,6185.43,73.34,76.3,73.3,6120.52,STOP_LOSS,0.01,97.61,1.49921,9273.26,-97.32,10.89,-108.21,-108.21,9761.33,9653.12
10,SOL/INR,15m,SHORT,2026-07-29 21:15:00+05:30,2026-07-29 23:15:00+05:30,72.99,6094.96,73.72,70.8,73.76,6158.98,STOP_LOSS,0.01,96.53,1.504599,9170.47,-96.34,10.88,-107.21,-107.21,9653.12,9545.91
11,SOL/INR,15m,SHORT,2026-07-30 02:30:00+05:30,2026-07-30 03:30:00+05:30,72.49,6053.23,73.22,70.32,73.26,6116.82,STOP_LOSS,0.01,95.46,1.498145,9068.61,-95.27,10.76,-106.02,-106.02,9545.91,9439.88
12,SOL/INR,15m,SHORT,2026-07-30 04:45:00+05:30,2026-07-30 07:15:00+05:30,73.3,6120.83,74.04,71.1,74.07,6185.13,STOP_LOSS,0.01,94.4,1.465143,8967.89,-94.21,10.64,-104.85,-104.85,9439.88,9335.04
13,SOL/INR,15m,LONG,2026-07-30 19:15:00+05:30,2026-07-31 00:00:00+05:30,74.4,6212.16,73.65,76.63,74.63,6231.83,INTRADAY_SQUAREOFF,0.01,93.35,1.427568,8868.29,28.07,10.48,17.59,17.59,9335.04,9352.63
14,SOL/INR,15m,LONG,2026-07-31 00:45:00+05:30,2026-07-31 08:30:00+05:30,74.74,6240.57,73.99,76.98,73.95,6175.07,STOP_LOSS,0.01,93.53,1.423748,8885.0,-93.25,10.43,-103.68,-103.68,9352.63,9248.95
15,SOL/INR,15m,SHORT,2026-07-31 15:00:00+05:30,2026-08-01 00:00:00+05:30,73.34,6124.17,74.08,71.14,73.17,6109.41,INTRADAY_SQUAREOFF,0.01,92.49,1.434726,8786.5,21.17,10.36,10.82,10.82,9248.95,9259.77
16,SOL/INR,15m,SHORT,2026-08-01 02:30:00+05:30,2026-08-02 00:00:00+05:30,72.82,6080.77,73.55,70.64,71.48,5968.22,INTRADAY_SQUAREOFF,0.01,92.6,1.446656,8796.78,162.81,10.28,152.53,152.53,9259.77,9412.3
17,SOL/INR,15m,LONG,2026-08-02 08:30:00+05:30,2026-08-03 00:00:00+05:30,73.12,6105.23,72.39,75.31,73.27,6118.32,INTRADAY_SQUAREOFF,0.01,94.12,1.464594,8941.68,19.18,10.56,8.61,8.61,9412.3,9420.91
18,SOL/INR,15m,SHORT,2026-08-03 09:15:00+05:30,2026-08-03 19:45:00+05:30,72.82,6080.77,73.55,70.64,73.59,6144.65,STOP_LOSS,0.01,94.21,1.471832,8949.87,-94.02,10.62,-104.63,-104.63,9420.91,9316.28
19,SOL/INR,15m,LONG,2026-08-03 20:30:00+05:30,2026-08-04 00:00:00+05:30,73.75,6157.86,73.01,75.96,73.87,6168.4,INTRADAY_SQUAREOFF,0.01,93.16,1.437262,8850.46,15.14,10.45,4.69,4.69,9316.28,9320.97
