trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
1,SOL/INR,5m,LONG,2026-09-17 13:35:00+05:30,2026-09-18 00:00:00+05:30,100.12,8360.02,98.62,104.63,101.19,8449.31,INTRADAY_SQUAREOFF,0.01,100.0,0.797446,6666.67,71.2,7.91,63.3,63.3,10000.0,10063.3
2,SOL/INR,5m,SHORT,2026-09-18 01:10:00+05:30,2026-09-18 07:15:00+05:30,100.72,8410.09,102.23,96.19,102.28,8540.51,STOP_LOSS,0.01,100.63,0.797716,6708.86,-104.04,7.98,-112.02,-112.02,10063.3,9951.28
3,SOL/INR,5m,LONG,2026-09-18 07:45:00+05:30,2026-09-18 19:05:00+05:30,102.49,8558.02,100.95,107.1,107.05,8938.66,TARGET_HIT,0.01,99.51,0.775201,6634.19,295.07,8.0,287.07,287.07,9951.28,10238.35
4,SOL/INR,5m,LONG,2026-09-18 19:45:00+05:30,2026-09-19 00:00:00+05:30,109.03,9104.38,107.4,113.94,112.7,9410.75,INTRADAY_SQUAREOFF,0.01,102.38,0.749701,6825.57,229.69,8.19,221.5,221.5,10238.35,10459.85
5,SOL/INR,5m,LONG,2026-09-19 00:40:00+05:30,2026-09-19 11:55:00+05:30,112.86,9423.51,111.16,117.93,111.11,9277.52,STOP_LOSS,0.01,104.6,0.739982,6973.23,-108.03,8.16,-116.2,-116.2,10459.85,10343.65
6,SOL/INR,5m,SHORT,2026-09-19 12:25:00+05:30,2026-09-20 00:00:00+05:30,111.49,9309.77,113.17,106.48,111.0,9268.12,INTRADAY_SQUAREOFF,0.01,103.44,0.740702,6895.77,30.85,8.12,22.73,22.73,10343.65,10366.38
7,SOL/INR,5m,SHORT,2026-09-20 00:15:00+05:30,2026-09-21 00:00:00+05:30,110.91,9261.36,112.58,105.92,110.35,9213.82,INTRADAY_SQUAREOFF,0.01,103.66,0.74621,6910.92,35.48,8.13,27.34,27.34,10366.38,10393.72
8,SOL/INR,5m,LONG,2026-09-21 00:40:00+05:30,2026-09-21 14:05:00+05:30,109.85,9172.88,108.21,114.8,114.74,9580.87,TARGET_HIT,0.01,103.94,0.755395,6929.15,308.19,8.36,299.83,299.83,10393.72,10693.55
9,SOL/INR,5m,LONG,2026-09-21 15:00:00+05:30,2026-09-22 00:00:00+05:30,116.09,9693.35,114.35,121.31,117.4,9803.01,INTRADAY_SQUAREOFF,0.01,106.94,0.735456,7129.04,80.65,8.46,72.19,72.19,10693.55,10765.74
10,SOL/INR,5m,LONG,2026-09-22 01:30:00+05:30,2026-09-22 08:25:00+05:30,118.48,9893.01,116.7,123.81,116.64,9739.75,STOP_LOSS,0.01,107.66,0.725478,7177.16,-111.19,8.4,-119.6,-119.6,10765.74,10646.15
11,SOL/INR,5m,SHORT,2026-09-22 10:05:00+05:30,2026-09-22 23:00:00+05:30,116.38,9717.88,118.13,111.14,118.19,9868.58,STOP_LOSS,0.01,106.46,0.730348,7097.43,-110.06,8.44,-118.5,-118.5,10646.15,10527.64
12,SOL/INR,5m,LONG,2026-09-23 00:15:00+05:30,2026-09-23 18:35:00+05:30,118.18,9867.95,116.41,123.5,116.35,9715.07,STOP_LOSS,0.01,105.28,0.711235,7018.43,-108.73,8.22,-116.95,-116.95,10527.64,10410.69
13,SOL/INR,5m,SHORT,2026-09-23 21:00:00+05:30,2026-09-24 00:00:00+05:30,115.02,9604.38,116.75,109.85,114.16,9532.11,INTRADAY_SQUAREOFF,0.01,104.11,0.722635,6940.46,52.22,8.16,44.06,44.06,10410.69,10454.75
